           IM.1  EDP.01.mean_x  EDP.02.mean_x  EDP.03.mean_x  EDP.04.mean_x  EDP.05.mean_x  EDP.06.mean_x  EDP.07.mean_x  EDP.08.mean_x  EDP.09.mean_x  EDP.10.mean_x  EDP.11.mean_x  EDP.12.mean_x  EDP.13.mean_x  EDP.14.mean_x  EDP.15.mean_x  EDP.16.mean_x  EDP.17.mean_x  EDP.18.mean_x  EDP.19.mean_x  EDP.20.mean_x  EDP.21.mean_x
       0.946263    2.03843e+05    2.82654e+05    2.60012e+05    3.36957e+05    6.94671e+05     3.4046e+05    1.73345e+05    3.43373e+05     1.2836e+05    3.43094e+05    4.34682e+05    2.94163e+05        65531.2    2.54312e+05        92914.9    1.75396e+05        44250.0        54110.2    1.66667e+05        22775.8        52837.9
       0.961364    2.06084e+05    2.87596e+05    2.59502e+05    3.38956e+05    6.97954e+05     3.4165e+05    1.76006e+05    3.43854e+05    1.32985e+05    3.43082e+05    4.52168e+05    2.91027e+05        65844.2    2.45627e+05        93733.3    1.69564e+05        41437.2        51605.9    1.61329e+05        22920.0        51939.6
       0.976465    2.08289e+05    2.92724e+05    2.58963e+05    3.40881e+05    7.01123e+05     3.4282e+05    1.78644e+05    3.44327e+05    1.34944e+05    3.43053e+05     4.6928e+05    2.87769e+05        66167.5    2.36227e+05        94565.5    1.62724e+05        38711.1        49114.9    1.56045e+05        23063.9        51073.2
       0.991566    2.10452e+05    2.97685e+05    2.58401e+05    3.56879e+05    7.04341e+05    3.43969e+05    1.81284e+05    3.44779e+05    1.36942e+05    3.43005e+05     4.8602e+05    2.84383e+05        66490.8    2.26105e+05        95407.6    1.55796e+05        36063.7        46644.6    1.50816e+05        23207.6        50215.0
        1.00667    2.11122e+05    3.05801e+05    2.55777e+05    3.42489e+05    7.01909e+05    3.43018e+05    1.81155e+05    3.58551e+05    1.38828e+05     3.4127e+05    4.88533e+05    2.84511e+05        66491.6    2.17967e+05        94648.4    1.52594e+05        35433.6        48251.4     1.4917e+05        24288.7        50209.2
        1.02177    2.09943e+05    3.19202e+05    2.50233e+05    3.39589e+05    6.92255e+05    3.39303e+05    1.77526e+05    3.40088e+05    1.40461e+05    3.37275e+05    4.73151e+05    2.89191e+05        66084.9    2.12953e+05        91866.4    1.54507e+05        37316.8        56094.7    1.52041e+05        26612.8        51277.3
        1.03687    2.08726e+05    3.32586e+05    2.44178e+05    3.36565e+05    6.82291e+05    3.35402e+05    1.73899e+05    3.36442e+05    1.42108e+05    3.33044e+05    4.57043e+05     2.9381e+05        65698.3    2.07629e+05        89113.6    1.56401e+05        39265.5        61949.4    1.54975e+05        31403.7        52354.8
        1.05197    2.07473e+05    3.46454e+05    2.37606e+05    3.33382e+05    6.72075e+05    3.31285e+05    1.70254e+05    3.32586e+05    1.43746e+05    3.28602e+05    4.41037e+05    2.98215e+05        65324.7    2.01977e+05        86390.8    1.58278e+05        41291.9        68778.2    1.57975e+05        31462.1        53436.6
        1.06707    2.06179e+05    3.60159e+05     2.3046e+05    3.30099e+05    6.61433e+05    3.26964e+05    1.66604e+05    3.28437e+05    1.45379e+05    3.23908e+05    4.24336e+05    3.02794e+05        64927.3    1.95968e+05        83697.1    1.60138e+05        43383.3        75490.7    1.61041e+05        33971.7        54540.8
        1.08217    2.04845e+05    3.73033e+05    2.22499e+05    3.26689e+05    6.50406e+05    3.22407e+05    1.62939e+05    3.24321e+05    1.47001e+05    3.18932e+05    4.07236e+05    3.07115e+05        64551.8    1.89574e+05        81038.3     1.6198e+05        45538.5        82050.1    1.64176e+05        36522.8        55658.6
