           IM.1     FRAG.002.mean_x     FRAG.003.mean_x     FRAG.105.mean_x     FRAG.106.mean_x     FRAG.107.mean_x     FRAG.108.mean_x     FRAG.203.mean_x     FRAG.204.mean_x     FRAG.205.mean_x     FRAG.208.mean_x     FRAG.209.mean_x     FRAG.211.mean_x     FRAG.214.mean_x
        1.42949         6.98049e+05         5.67838e+05         1.02795e+06         1.09099e+05             21620.3         2.96672e+05         8.13203e+05          1.1194e+05             29476.9         3.24792e+05         9.88135e+05             1345.66         2.93968e+05
         1.4446         6.89704e+05         5.60679e+05         1.01428e+06         1.08722e+05             20892.0         2.91718e+05         8.10595e+05         1.11937e+05             29253.0         3.23479e+05         9.89587e+05             1328.15         2.92554e+05
         1.4597         6.80777e+05          5.5315e+05         9.98504e+05         1.08228e+05             20222.8         2.87094e+05         8.07972e+05         1.11934e+05             29067.0         3.22151e+05         9.91257e+05             1311.82         2.91141e+05
         1.4748         6.71241e+05         5.45527e+05         9.80737e+05          1.0757e+05             19508.2         2.82789e+05         8.05311e+05         1.11931e+05             28872.0         3.20805e+05         9.93087e+05             1296.73         2.89696e+05
         1.4899         6.61281e+05          5.3812e+05         9.61544e+05         1.06655e+05             18981.7         2.78723e+05         8.02456e+05         1.11928e+05             28683.8         3.19431e+05         9.95001e+05             1282.74         2.88237e+05
          1.505         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
         1.5201         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
         1.5352         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
         1.5503         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
         1.5654         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.58051         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.59561         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.61071         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.62581         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.64091         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.65601         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.67111         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.68621         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.70131         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.71641         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.73152         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.74662         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.76172         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.77682         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.79192         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.80702         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.82212         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.83722         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.85232         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.86742         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.88253         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.89763         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.91273         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.92783         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.94293         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.95803         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.97313         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        1.98823         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        2.00333         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        2.01843         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        2.03354         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        2.04864         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        2.06374         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        2.07884         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
        2.09394         6.54437e+05         5.33418e+05         9.48851e+05         1.05839e+05             18745.5         2.75933e+05         8.00689e+05         1.11925e+05             28556.4         3.18501e+05         9.96351e+05             1274.08          2.8728e+05
